"Date","Price","Open","High","Low","Change %"
"Jan 18, 2019","5.3283","5.3426","5.3777","5.3152","-0.37%"
"Jan 17, 2019","5.3480","5.3326","5.3921","5.3321","0.22%"
"Jan 16, 2019","5.3363","5.4500","5.4559","5.3263","-2.03%"
"Jan 15, 2019","5.4466","5.4461","5.4715","5.4219","0.03%"
"Jan 14, 2019","5.4447","5.4630","5.5534","5.4310","-0.19%"
"Jan 11, 2019","5.4550","5.4196","5.5055","5.4000","0.71%"
"Jan 10, 2019","5.4168","5.4801","5.5083","5.3975","-1.10%"
"Jan 09, 2019","5.4768","5.4805","5.5486","5.4375","-0.08%"
"Jan 08, 2019","5.4811","5.3814","5.5155","5.3740","1.79%"
"Jan 07, 2019","5.3848","5.3362","5.4153","5.3171","1.01%"
"Jan 04, 2019","5.3311","5.4587","5.4778","5.3058","-2.48%"
"Jan 03, 2019","5.4664","5.4002","5.8300","5.3857","1.22%"
"Jan 02, 2019","5.4003","5.3010","5.4215","5.2737","2.02%"
"Jan 01, 2019","5.2933","5.2896","5.2933","5.2540","0.09%"
"Dec 31, 2018","5.2887","5.2725","5.3220","5.2530","0.31%"
"Dec 28, 2018","5.2725","5.2850","5.3008","5.2430","-0.24%"
"Dec 27, 2018","5.2850","5.2749","5.3073","5.2644","0.16%"
"Dec 26, 2018","5.2766","5.2965","5.3088","5.2703","-0.63%"
"Dec 25, 2018","5.3101","5.3003","5.3560","5.2901","0.40%"
"Dec 24, 2018","5.2890","5.3197","5.3251","5.2762","-0.55%"
"Dec 21, 2018","5.3181","5.2619","5.3213","5.2300","1.01%"
"Dec 20, 2018","5.2649","5.2929","5.3303","5.2255","-0.40%"
"Dec 19, 2018","5.2860","5.3430","5.3551","5.1968","-1.10%"
"Dec 18, 2018","5.3450","5.3697","5.3902","5.3250","-0.44%"
"Dec 17, 2018","5.3686","5.3639","5.3973","5.3570","0.10%"
"Dec 14, 2018","5.3635","5.3352","5.4219","5.3301","0.46%"
"Dec 13, 2018","5.3392","5.3520","5.3917","5.2990","-0.17%"
"Dec 12, 2018","5.3482","5.3703","5.4016","5.3309","-0.32%"
"Dec 11, 2018","5.3653","5.3189","5.4045","5.3010","0.76%"
"Dec 10, 2018","5.3248","5.2993","5.3580","5.2666","0.41%"
"Dec 07, 2018","5.3029","5.3308","5.3518","5.2490","-0.67%"
"Dec 06, 2018","5.3386","5.3258","5.4050","5.3176","0.23%"
"Dec 05, 2018","5.3262","5.3833","5.4528","5.3020","-1.14%"
"Dec 04, 2018","5.3875","5.2550","5.4623","5.2332","2.62%"
"Dec 03, 2018","5.2501","5.2207","5.2939","5.1448","0.72%"
"Nov 30, 2018","5.2128","5.1625","5.2571","5.1350","0.96%"
"Nov 29, 2018","5.1631","5.2311","5.2389","5.1322","-1.13%"
"Nov 28, 2018","5.2219","5.2789","5.2829","5.2097","-0.94%"
"Nov 27, 2018","5.2716","5.2472","5.3003","5.2153","0.46%"
"Nov 26, 2018","5.2477","5.2877","5.3009","5.2110","-0.75%"
"Nov 23, 2018","5.2875","5.2870","5.3121","5.2520","-0.16%"
"Nov 22, 2018","5.2960","5.3121","5.3517","5.2730","-0.23%"
"Nov 21, 2018","5.3080","5.3768","5.4008","5.2787","-1.29%"
"Nov 20, 2018","5.3776","5.2995","5.4387","5.2970","1.32%"
"Nov 19, 2018","5.3075","5.3397","5.3734","5.2950","-0.46%"
"Nov 16, 2018","5.3318","5.3482","5.3951","5.3033","-0.30%"
"Nov 15, 2018","5.3481","5.4610","5.4715","5.3024","-2.09%"
"Nov 14, 2018","5.4624","5.4827","5.5013","5.4456","-0.28%"
"Nov 13, 2018","5.4776","5.4646","5.5299","5.4410","0.16%"
"Nov 12, 2018","5.4686","5.4678","5.5238","5.4231","0.15%"
"Nov 09, 2018","5.4606","5.4500","5.5421","5.4285","0.04%"
"Nov 08, 2018","5.4583","5.3569","5.4762","5.3540","1.81%"
"Nov 07, 2018","5.3612","5.3621","5.4179","5.3175","0.10%"
"Nov 06, 2018","5.3560","5.3129","5.4181","5.2940","0.80%"
"Nov 05, 2018","5.3134","5.4296","5.4755","5.2990","-2.14%"
"Nov 02, 2018","5.4296","5.5085","5.5279","5.3980","-1.49%"
"Nov 01, 2018","5.5118","5.5867","5.6525","5.5013","-1.28%"
"Oct 31, 2018","5.5835","5.4680","5.6322","5.4612","1.99%"
"Oct 30, 2018","5.4746","5.5677","5.5692","5.4608","-1.56%"
"Oct 29, 2018","5.5611","5.5969","5.6037","5.5072","-0.57%"
"Oct 26, 2018","5.5929","5.6353","5.6578","5.5626","-0.74%"
"Oct 25, 2018","5.6345","5.7041","5.7417","5.6122","-1.19%"
"Oct 24, 2018","5.7023","5.7469","5.7784","5.6531","-0.60%"
"Oct 23, 2018","5.7370","5.6683","5.8780","5.6650","1.20%"
"Oct 22, 2018","5.6689","5.6521","5.6958","5.6145","0.47%"
"Oct 19, 2018","5.6425","5.6345","5.7005","5.5800","0.00%"
"Oct 18, 2018","5.6425","5.5765","5.6831","5.5093","1.06%"
"Oct 17, 2018","5.5835","5.6815","5.7207","5.5285","-1.79%"
"Oct 16, 2018","5.6855","5.7896","5.8115","5.6623","-1.75%"
"Oct 15, 2018","5.7867","5.8698","5.9051","5.7424","-1.45%"
"Oct 12, 2018","5.8721","5.9253","5.9845","5.8068","-0.91%"
